audio_path,predicted_transcript,actual_sentence
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834251.mp3,in addition many other public sector bodies had cuts to their funding,In addition many other public sector bodies had cuts to their funding.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834253.mp3,readings are also referred to as numbers in the business,"Ratings are also referred to as ""numbers"" in the business."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834265.mp3,this involved excepting some players on assignment from the national hakili club,This involved accepting some players on assignment from the National Hockey League club.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834266.mp3,on publication of the letter the fifteen were confined to the brig,"On publication of the letter, the fifteen were confined to the brig."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834270.mp3,however like other pharisenas ors they were probably primarily her beaverous,"However, like other therizinosaurs, they were probably primarily herbivorous."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834287.mp3,provincial trunk highways are the primary highways and provincial roads are the,"Provincial Trunk Highways are the primary highways, and Provincial Roads are the secondary highways."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834292.mp3,he played trinket for gall a cricket club,He played cricket for Gala cricket club.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39834293.mp3,in addition to his home schooling andrew also enjoyed a strong muse,"In addition to his homeschooling, Andrea also enjoyed a strong musical education."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39894082.mp3,a buggy called a stanhope typically had a high seat and close back,A buggy called a stanhope typically had a high seat and closed back.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39894085.mp3,since then she has been leading women and grain together with nydium athar,Since then she has been leading Women in Green together with Nadia Matar.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39894843.mp3,the unusual domed ceiling represents a passion flower surrounded by,The unusual domed ceiling represents a passion flower surrounded by lotuses.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39894865.mp3,an ego toorism resort is located in the village,An ecotourism resort is located in the village.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39953488.mp3,farther inland strong winds cause heavy damage at guanacosta national,"Farther inland, strong winds caused heavy damage at Guanacaste National Park."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39956424.mp3,that part of antarctica was later named wilkesland,That part of Antarctica was later named Wilkes Land.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39959163.mp3,he also struggles to maintain civility with jackie and manage his career,He also struggles to maintain civility with Jackie and manage his career.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39959164.mp3,the company is known for its affordably priced apparel,The company is known for its affordably priced apparel.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39959359.mp3,the panel was composed of individuals experienced in conflict prevention peace keeping,"The panel was composed of individuals experienced in conflict prevention, peacekeeping and peacebuilding."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39971683.mp3,the couple lived together for a number of years before they separated,The couple lived together for a number of years before they separated.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39979434.mp3,they are taken from a variety of sources including dialogue from film antelope,They are taken from a variety of sources including dialogue from film and television.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39995797.mp3,in the supporting caste francis de sails played the town carol,"In the supporting cast, Francis DeSales played Lieutenant Farrell."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39995823.mp3,coke with less ash and sulphur content is highly priced on the market,Coke with less ash and sulfur content is highly priced on the market.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057521.mp3,he embarks on a cell boat for a tour of the world,He embarks on a sailboat for a tour of the world.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057537.mp3,it is located below the slopes of the northwestern side of the takin range,It is located below the slopes of the northwestern side of the Taikan Range.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057565.mp3,the beacons were a re launch of the united succour association team boston rovers,The Beacons were a relaunch of the United Soccer Association team Boston Rovers.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057572.mp3,they are available from several manufactures in a variety of styles,They are available from several manufacturers in a variety of styles.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057576.mp3,cordwinners were also among the early settlers of canada,Cordwainers were also among the early settlers of Canada.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40057580.mp3,she is moslem and does of aroma background,"She is Muslim, and is of Oromo background."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40058567.mp3,her beauty was not the only characteristic that made her appealing for men,Her beauty was not the only characteristic that made her appealing for men.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40075623.mp3,there were many lines of communication between the modoc and whites,There were many lines of communication between the Modoc and whites.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40079778.mp3,martha lumm was not allowed to go to the school for white children,Martha Lum was not allowed to go to the school for white children.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40079817.mp3,the winter were also forced to work as laborers in gold mining operations,The Wintu were also forced to work as laborers in gold mining operations.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40099777.mp3,other types leave less permanent records and may only be identified during excavation,Other types leave less permanent records and may only be identified during excavation.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40099960.mp3,the cost between different agents varies significantly,The cost between different agents varies significantly.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40107457.mp3,sphinx had retired from active farm work by this time,Spinks had retired from active farm work by this time.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40118292.mp3,this was the political and literary climate when kwairyo started to publish,This was the political and literary climate when Koidula started to publish.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40118294.mp3,she writes in french,She writes in French.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40131214.mp3,sepruski is perhaps most familiar for her television work,Zabriskie is perhaps most familiar for her television work.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40134525.mp3,over the years marin served on the boards of many public and private bodies,"Over the years, Marren served on the boards of many public and private bodies."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40151399.mp3,she stated that she thinks the ocean is similar to love,She stated that she thinks the ocean is similar to love.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40162390.mp3,this makes the pie bond very polarized,This makes the pi bond very polarized.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590509.mp3,jefferson,Jefferson.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590524.mp3,the settlement was named misitani after the leader of the expedition,"The settlement was named ""Mizutani"" after the leader of the expedition."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590731.mp3,he also attempted to dissuade wanging way from such activities,He also attempted to dissuade Wang Jingwei from such activities.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590915.mp3,all the others played the caps before or after their tell star time,All the others played the caps before or after their Telstar time.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590980.mp3,something that was definitely not for the faint of heart,Something that was definitely not for the faint of heart.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39590994.mp3,the city was the location of the now defunct lakeland amusement part,The city was the location of the now defunct Lakeland Amusement Park.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39608023.mp3,performances of muller works were still comparatively rare,Performances of Mahler works were still comparatively rare.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39675760.mp3,the country was so infested by lions that people often slept in,The country was so infested by lions that people often slept in trees.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39684887.mp3,she also finds herself craving blood to drink,She also finds herself craving blood to drink.
